date,division,up,down,level,up_ch,down_ch,total,up_sh,down_sh,level_sh,change_sh,division_s,division_sh,date2,date4,year,month,quarter
26,6,88,17,476,.068306416,-.021739174,581,.151463,.029259896,.81927711,.18072289,Health,Health,01-03-1990,1990-03-01,1990,3,1
26,4,120,31,1267,.077519402,-.062500022,1418,.084626235,.021861777,.89351201,.10648801,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-03-1990,1990-03-01,1990,3,1
26,11,676,101,5125,.065028824,-.047619004,5902,.11453745,.017112844,.86834973,.1316503,Restaurants and Hotels,Restaurants & Hotels,01-03-1990,1990-03-01,1990,3,1
26,1,1976,995,7932,.060200691,-.060606092,10903,.18123452,.091259286,.72750622,.27249381,Food and non-alcoholic beverages,Food & drink,01-03-1990,1990-03-01,1990,3,1
26,8,6,8,140,.063102588,-.083402857,154,.038961038,.051948052,.90909094,.090909094,Communication,Communication,01-03-1990,1990-03-01,1990,3,1
26,7,292,234,1753,.068548419,-.071428575,2279,.12812637,.10267662,.76919699,.23080298,Transport,Transport,01-03-1990,1990-03-01,1990,3,1
26,2,536,204,3181,.0361882,-.022044867,3921,.13669983,.052027542,.81127262,.18872736,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-03-1990,1990-03-01,1990,3,1
27,7,1015,64,1170,.077820443,-.09060289,2249,.45131171,.028457092,.52023119,.47976881,Transport,Transport,01-04-1990,1990-04-01,1990,4,2
27,11,2547,75,3128,.064583361,-.055621825,5750,.44295651,.013043478,.54400003,.45599997,Restaurants and Hotels,Restaurants & Hotels,01-04-1990,1990-04-01,1990,4,2
27,8,8,6,135,.071119934,-.097722672,149,.053691275,.040268455,.90604025,.093959734,Communication,Communication,01-04-1990,1990-04-01,1990,4,2
27,9,289,93,2616,.088327691,-.091713764,2998,.096397601,.03102068,.87258172,.12741828,Recreation and culture,Recreation & culture,01-04-1990,1990-04-01,1990,4,2
27,1,2308,1151,7629,.069696933,-.076119736,11088,.20815296,.10380591,.68804115,.31195888,Food and non-alcoholic beverages,Food & drink,01-04-1990,1990-04-01,1990,4,2
27,3,601,242,5575,.11187986,-.1177163,6418,.093642883,.03770645,.86865067,.13134933,Clothing and footwear,Clothing and footwear,01-04-1990,1990-04-01,1990,4,2
27,4,121,35,1280,.07272727,-.062695935,1436,.084261842,.024373259,.89136493,.1086351,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-04-1990,1990-04-01,1990,4,2
27,2,2080,155,1560,.058550015,-.037892386,3795,.54808956,.040843215,.41106719,.58893275,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-04-1990,1990-04-01,1990,4,2
27,12,255,75,1876,.065265618,-.082353003,2206,.11559384,.033998188,.85040796,.14959203,Miscellaneous goods and services,Misc,01-04-1990,1990-04-01,1990,4,2
27,6,99,4,475,.083363876,-.042735003,578,.17128028,.0069204154,.82179928,.17820069,Health,Health,01-04-1990,1990-04-01,1990,4,2
27,5,494,271,3804,.080419555,-.084327959,4569,.10811994,.059312761,.83256727,.1674327,"Furnishings, household equipment and maintenance",Household,01-04-1990,1990-04-01,1990,4,2
28,12,233,130,1853,.082575738,-.08397948,2216,.1051444,.058664259,.83619136,.16380866,Miscellaneous goods and services,Misc,01-05-1990,1990-05-01,1990,5,2
28,5,639,278,3739,.075322226,-.085827574,4656,.13724227,.059707902,.8030498,.19695017,"Furnishings, household equipment and maintenance",Household,01-05-1990,1990-05-01,1990,5,2
28,9,235,105,2688,.089199275,-.067496963,3028,.07760898,.034676354,.88771468,.11228533,Recreation and culture,Recreation & culture,01-05-1990,1990-05-01,1990,5,2
28,4,136,335,950,.10101012,-.079238512,1421,.095707245,.23574947,.66854328,.33145672,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-05-1990,1990-05-01,1990,5,2
28,2,1453,144,2160,.0616333,-.022666201,3757,.38674474,.038328454,.57492679,.42507321,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-05-1990,1990-05-01,1990,5,2
28,1,2998,1158,7223,.076923124,-.061728422,11379,.26346779,.10176641,.6347658,.3652342,Food and non-alcoholic beverages,Food & drink,01-05-1990,1990-05-01,1990,5,2
28,3,651,326,5598,.10714284,-.11156498,6575,.099011406,.049581748,.85140687,.14859316,Clothing and footwear,Clothing and footwear,01-05-1990,1990-05-01,1990,5,2
28,11,722,140,4782,.061862223,-.042553216,5644,.12792346,.024805102,.84727144,.15272856,Restaurants and Hotels,Restaurants & Hotels,01-05-1990,1990-05-01,1990,5,2
28,7,364,413,1547,.071428575,-.045287129,2324,.15662651,.17771085,.66566265,.33433735,Transport,Transport,01-05-1990,1990-05-01,1990,5,2
28,6,63,14,522,.094285712,-.079999998,599,.10517529,.023372287,.87145239,.12854758,Health,Health,01-05-1990,1990-05-01,1990,5,2
28,8,10,10,136,.11637451,-.093449108,156,.064102568,.064102568,.87179488,.12820514,Communication,Communication,01-05-1990,1990-05-01,1990,5,2
29,3,446,282,5829,.10447766,-.12140816,6557,.068018913,.043007474,.88897359,.11102639,Clothing and footwear,Clothing and footwear,01-06-1990,1990-06-01,1990,6,2
29,1,2085,1413,7992,.066666633,-.070197016,11490,.18146214,.1229765,.69556135,.30443865,Food and non-alcoholic beverages,Food & drink,01-06-1990,1990-06-01,1990,6,2
29,2,447,267,3033,.029891327,-.040322542,3747,.11929543,.071257003,.80944759,.19055244,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-06-1990,1990-06-01,1990,6,2
29,11,460,85,5235,.066666603,-.038461503,5780,.079584777,.014705882,.90570933,.094290659,Restaurants and Hotels,Restaurants & Hotels,01-06-1990,1990-06-01,1990,6,2
29,7,210,394,1753,.061708305,-.039215688,2357,.089096308,.16716164,.74374205,.25625795,Transport,Transport,01-06-1990,1990-06-01,1990,6,2
29,5,469,275,4007,.086207777,-.08068528,4751,.098716058,.057882551,.84340137,.15659861,"Furnishings, household equipment and maintenance",Household,01-06-1990,1990-06-01,1990,6,2
29,6,39,8,573,.089809112,-.059299007,620,.062903225,.012903226,.92419356,.075806454,Health,Health,01-06-1990,1990-06-01,1990,6,2
29,4,113,113,1238,.083472461,-.075471714,1464,.077185795,.077185795,.84562844,.15437159,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-06-1990,1990-06-01,1990,6,2
29,12,189,102,1925,.10277085,-.090017855,2216,.085288808,.046028882,.86868232,.13131769,Miscellaneous goods and services,Misc,01-06-1990,1990-06-01,1990,6,2
29,8,10,5,148,.096390083,-.070679367,163,.061349694,.030674847,.90797544,.092024542,Communication,Communication,01-06-1990,1990-06-01,1990,6,2
29,9,200,112,2774,.076512679,-.070461184,3086,.064808816,.036292937,.89889824,.10110176,Recreation and culture,Recreation & culture,01-06-1990,1990-06-01,1990,6,2
30,4,105,95,1222,.071789533,-.11586188,1422,.073839664,.066807315,.85935301,.14064698,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-07-1990,1990-07-01,1990,7,3
30,5,520,608,3385,.083686978,-.096115425,4513,.11522269,.13472192,.75005537,.24994461,"Furnishings, household equipment and maintenance",Household,01-07-1990,1990-07-01,1990,7,3
30,8,10,11,137,.10523088,-.10904746,158,.06329114,.069620252,.86708862,.13291138,Communication,Communication,01-07-1990,1990-07-01,1990,7,3
30,12,247,118,1699,.087719321,-.10810808,2064,.11967054,.057170544,.82315892,.17684108,Miscellaneous goods and services,Misc,01-07-1990,1990-07-01,1990,7,3
30,11,906,191,4360,.074344486,-.058823559,5457,.1660253,.035000917,.7989738,.20102622,Restaurants and Hotels,Restaurants & Hotels,01-07-1990,1990-07-01,1990,7,3
30,1,2060,1627,6927,.072479002,-.07853616,10614,.19408329,.15328811,.6526286,.3473714,Food and non-alcoholic beverages,Food & drink,01-07-1990,1990-07-01,1990,7,3
30,9,235,229,2443,.10088338,-.092167877,2907,.080839351,.078775369,.84038526,.15961471,Recreation and culture,Recreation & culture,01-07-1990,1990-07-01,1990,7,3
30,2,505,304,2726,.025210058,-.033745803,3535,.14285715,.085997172,.7711457,.22885433,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-07-1990,1990-07-01,1990,7,3
30,7,193,614,1494,.064583331,-.043478221,2301,.083876573,.26684052,.64928293,.3507171,Transport,Transport,01-07-1990,1990-07-01,1990,7,3
30,6,54,15,508,.10680621,-.036544207,577,.093587525,.025996534,.88041592,.11958406,Health,Health,01-07-1990,1990-07-01,1990,7,3
30,3,764,1047,4517,.12523484,-.19328815,6328,.12073325,.16545512,.71381164,.28618836,Clothing and footwear,Clothing and footwear,01-07-1990,1990-07-01,1990,7,3
