price,date,number,year
.81999999,1,14,1988
.81999999,1,15,1988
.81999999,1,16,1988
.81999999,1,17,1988
.81999999,1,18,1988
.81999999,1,19,1988
.81999999,1,20,1988
.81999999,1,21,1988
.81999999,1,22,1988
.81999999,1,23,1988
.82999998,1,1,1988
.82999998,1,2,1988
.82999998,1,3,1988
.82999998,1,4,1988
.82999998,1,5,1988
.82999998,1,6,1988
.82999998,1,7,1988
.83999997,1,1,1988
.83999997,1,2,1988
.83999997,1,3,1988
.83999997,1,4,1988
.83999997,1,5,1988
.83999997,1,6,1988
.83999997,1,7,1988
.83999997,1,8,1988
.83999997,1,9,1988
.83999997,1,10,1988
.83999997,1,11,1988
.83999997,1,12,1988
.83999997,1,13,1988
.83999997,1,14,1988
.83999997,1,15,1988
.83999997,1,16,1988
.83999997,1,17,1988
.83999997,1,18,1988
.83999997,1,19,1988
.85000002,1,1,1988
.85000002,1,2,1988
.85000002,1,3,1988
.85000002,1,4,1988
.85000002,1,5,1988
.85000002,1,6,1988
.85000002,1,7,1988
.85000002,1,8,1988
.85000002,1,9,1988
.85000002,1,10,1988
.85000002,1,11,1988
.86000001,1,1,1988
.86000001,1,2,1988
.86000001,1,3,1988
.86000001,1,4,1988
.86000001,1,5,1988
.86000001,1,6,1988
.86000001,1,7,1988
.86000001,1,8,1988
.86000001,1,9,1988
.86000001,1,10,1988
.86000001,1,11,1988
.86000001,1,12,1988
.86000001,1,13,1988
.86000001,1,14,1988
.86000001,1,15,1988
.86000001,1,16,1988
.86000001,1,17,1988
.86000001,1,18,1988
.86000001,1,19,1988
.87,1,1,1988
.87,1,2,1988
.87,1,3,1988
.87,1,4,1988
.87,1,5,1988
.88,1,1,1988
.88,1,2,1988
.88,1,3,1988
.88,1,4,1988
.88,1,5,1988
.88,1,6,1988
.88,1,7,1988
.88,1,8,1988
.88,1,9,1988
.88,1,10,1988
.88,1,11,1988
.88,1,12,1988
.88,1,13,1988
.88,1,14,1988
.88,1,15,1988
.88,1,16,1988
.88,1,17,1988
.88,1,18,1988
.88,1,19,1988
.88,1,20,1988
.88999999,1,1,1988
.88999999,1,2,1988
.88999999,1,3,1988
.88999999,1,4,1988
.89999998,1,1,1988
.89999998,1,2,1988
.89999998,1,3,1988
.89999998,1,4,1988
.89999998,1,5,1988
.89999998,1,6,1988
.89999998,1,7,1988
.89999998,1,8,1988
.89999998,1,9,1988
.89999998,1,10,1988
.89999998,1,11,1988
.89999998,1,12,1988
.89999998,1,13,1988
.89999998,1,14,1988
.89999998,1,15,1988
.89999998,1,16,1988
.89999998,1,17,1988
.89999998,1,18,1988
.89999998,1,19,1988
.89999998,1,20,1988
.89999998,1,21,1988
.89999998,1,22,1988
.89999998,1,23,1988
.89999998,1,24,1988
.89999998,1,25,1988
.89999998,1,26,1988
.91000003,1,1,1988
.91000003,1,2,1988
.91000003,1,3,1988
.92000002,1,1,1988
.92000002,1,2,1988
.92000002,1,3,1988
.92000002,1,4,1988
.92000002,1,5,1988
.92000002,1,6,1988
.92000002,1,7,1988
.92000002,1,8,1988
.92000002,1,9,1988
.92000002,1,10,1988
.92000002,1,11,1988
.92000002,1,12,1988
.92000002,1,13,1988
.93000001,1,1,1988
.93000001,1,2,1988
.93000001,1,3,1988
.93000001,1,4,1988
.93000001,1,5,1988
.93000001,1,6,1988
.93000001,1,7,1988
.93000001,1,8,1988
.94,1,1,1988
.94,1,2,1988
.94,1,3,1988
.94,1,4,1988
.94,1,5,1988
.94,1,6,1988
.94,1,7,1988
.94,1,8,1988
.94,1,9,1988
