itemname,price,p,group,newdate
Cigarettes,10,1.4299999,1,1988-10-01
Cigarettes,1020,.01000011,1,1988-10-01
Cigarettes,2030,.0099999905,1,1988-10-01
Cigarettes,3040,.019999981,1,1988-10-01
Cigarettes,4050,.019999981,1,1988-10-01
Cigarettes,5060,.049999952,1,1988-10-01
Cigarettes,6070,.040000081,1,1988-10-01
Cigarettes,7080,0,1,1988-10-01
Cigarettes,8090,.029999971,1,1988-10-01
Men's socks,10,.99000001,1,1988-10-01
Men's socks,1020,.5,1,1988-10-01
Men's socks,2030,.0099999905,1,1988-10-01
Men's socks,3040,.25,1,1988-10-01
Men's socks,4050,.24000001,1,1988-10-01
Men's socks,5060,.21000004,1,1988-10-01
Men's socks,6070,.29999995,1,1988-10-01
Men's socks,7080,.49000001,1,1988-10-01
Men's socks,8090,.5,1,1988-10-01
Lettuce,10,.5,1,1988-11-01
Lettuce,1020,.10000002,1,1988-11-01
Lettuce,2030,.049999952,1,1988-11-01
Lettuce,3040,.050000012,1,1988-11-01
Lettuce,4050,.13999999,1,1988-11-01
Lettuce,5060,.050000012,1,1988-11-01
Lettuce,6070,0,1,1988-11-01
Lettuce,7080,0,1,1988-11-01
Lettuce,8090,.060000002,1,1988-11-01
Cigarettes,10,1.4400001,1,1988-11-01
Cigarettes,1020,.0099999905,1,1988-11-01
Cigarettes,2030,.0099999905,1,1988-11-01
Cigarettes,3040,.019999981,1,1988-11-01
Cigarettes,4050,.0099999905,1,1988-11-01
Cigarettes,5060,.049999952,1,1988-11-01
Cigarettes,6070,.040000081,1,1988-11-01
Cigarettes,7080,.029999971,1,1988-11-01
Cigarettes,8090,0,1,1988-11-01
Men's socks,10,1,1,1988-11-01
Men's socks,1020,.5,1,1988-11-01
Men's socks,2030,.090000033,1,1988-11-01
Men's socks,3040,.19999993,1,1988-11-01
Men's socks,4050,.20000005,1,1988-11-01
Men's socks,5060,.25999999,1,1988-11-01
Men's socks,6070,.5,1,1988-11-01
Men's socks,7080,.24000001,1,1988-11-01
