name,price,p,newDate
Cigarettes,1020,.0099999905,1988-11-01
Cigarettes,2030,.0099999905,1988-11-01
Cigarettes,3040,.019999981,1988-11-01
Cigarettes,4050,.0099999905,1988-11-01
Cigarettes,5060,.049999952,1988-11-01
Cigarettes,6070,.040000081,1988-11-01
Cigarettes,7080,.029999971,1988-11-01
Cigarettes,8090,0,1988-11-01
Men's socks,10,1,1988-11-01
Men's socks,1020,.5,1988-11-01
Men's socks,2030,.090000033,1988-11-01
Men's socks,3040,.19999993,1988-11-01
Men's socks,4050,.20000005,1988-11-01
Men's socks,5060,.25999999,1988-11-01
Men's socks,6070,.5,1988-11-01
Men's socks,7080,.24000001,1988-11-01
Men's socks,8090,.50999999,1988-11-01
Lettuce,10,.55000001,1988-12-01
Lettuce,1020,.089999974,1988-12-01
Lettuce,2030,.050000012,1988-12-01
Lettuce,3040,.060000002,1988-12-01
Lettuce,4050,.050000012,1988-12-01
Lettuce,5060,.089999974,1988-12-01
Lettuce,6070,0,1988-12-01
Lettuce,7080,.0099999905,1988-12-01
Lettuce,8090,.050000012,1988-12-01
Cigarettes,10,1.45,1988-12-01
Cigarettes,1020,0,1988-12-01
Cigarettes,2030,.0099999905,1988-12-01
Cigarettes,3040,.019999981,1988-12-01
Cigarettes,4050,.0099999905,1988-12-01
Cigarettes,5060,.059999943,1988-12-01
Cigarettes,6070,.030000091,1988-12-01
Cigarettes,7080,.029999971,1988-12-01
Cigarettes,8090,0,1988-12-01
Men's socks,10,.99000001,1988-12-01
Men's socks,1020,.50999999,1988-12-01
Men's socks,2030,0,1988-12-01
Men's socks,3040,.25,1988-12-01
Men's socks,4050,.24000001,1988-12-01
Men's socks,5060,.25999999,1988-12-01
Men's socks,6070,.25,1988-12-01
Men's socks,7080,.49000001,1988-12-01
Men's socks,8090,.5,1988-12-01
Lettuce,10,.69,1989-01-01
Lettuce,1020,.060000002,1989-01-01
Lettuce,2030,.050000012,1989-01-01
Lettuce,3040,.050000012,1989-01-01
Lettuce,4050,.039999962,1989-01-01
Lettuce,5060,.050000012,1989-01-01
Lettuce,6070,.0099999905,1989-01-01
Lettuce,7080,.030000031,1989-01-01
Lettuce,8090,.0099999905,1989-01-01
Cigarettes,10,1.45,1989-01-01
Cigarettes,1020,.0099999905,1989-01-01
Cigarettes,2030,.0099999905,1989-01-01
Cigarettes,3040,.0099999905,1989-01-01
Cigarettes,4050,.0099999905,1989-01-01
Cigarettes,5060,.059999943,1989-01-01
Cigarettes,6070,.040000081,1989-01-01
Cigarettes,7080,.019999981,1989-01-01
Cigarettes,8090,0,1989-01-01
Men's socks,10,1,1989-01-01
Men's socks,1020,.5,1989-01-01
Men's socks,2030,.090000033,1989-01-01
Men's socks,3040,.38,1989-01-01
Men's socks,4050,.019999981,1989-01-01
Men's socks,5060,.30999994,1989-01-01
Men's socks,6070,.4000001,1989-01-01
Men's socks,7080,.28999996,1989-01-01
Men's socks,8090,.50999999,1989-01-01
Lettuce,10,.5,1989-03-01
Lettuce,1020,.089999974,1989-03-01
Lettuce,2030,.060000002,1989-03-01
Lettuce,3040,.040000021,1989-03-01
Lettuce,4050,.060000002,1989-03-01
Lettuce,5060,0,1989-03-01
Lettuce,6070,.040000021,1989-03-01
Lettuce,7080,.029999971,1989-03-01
Lettuce,8090,.030000031,1989-03-01
Cigarettes,10,1.46,1989-03-01
Cigarettes,1020,0,1989-03-01
Cigarettes,2030,.0099999905,1989-03-01
Cigarettes,3040,.019999981,1989-03-01
Cigarettes,4050,.0099999905,1989-03-01
Cigarettes,5060,.059999943,1989-03-01
Cigarettes,6070,.040000081,1989-03-01
Cigarettes,7080,.0099999905,1989-03-01
Cigarettes,8090,0,1989-03-01
Men's socks,10,1,1989-03-01
Men's socks,1020,.5,1989-03-01
Men's socks,2030,.35000002,1989-03-01
Men's socks,3040,.13999999,1989-03-01
Men's socks,4050,0,1989-03-01
Men's socks,5060,.50999999,1989-03-01
Men's socks,6070,.45000005,1989-03-01
Men's socks,7080,.049999952,1989-03-01
Men's socks,8090,.54999995,1989-03-01
Lettuce,10,.49000001,1989-04-01
Lettuce,1020,.055000007,1989-04-01
Lettuce,2030,.034999967,1989-04-01
Lettuce,3040,.069999993,1989-04-01
Lettuce,4050,.040000021,1989-04-01
Lettuce,5060,.020000041,1989-04-01
Lettuce,6070,.039999962,1989-04-01
Lettuce,7080,0,1989-04-01
Lettuce,8090,.040000021,1989-04-01
Lettuce,10,.55000001,1989-05-01
Lettuce,1020,.060000002,1989-05-01
Lettuce,2030,.10000002,1989-05-01
Lettuce,3040,.039999962,1989-05-01
Lettuce,4050,.050000012,1989-05-01
Lettuce,5060,.050000012,1989-05-01
Lettuce,6070,.039999962,1989-05-01
Lettuce,7080,.060000002,1989-05-01
Lettuce,8090,.040000021,1989-05-01
Cigarettes,10,1.46,1989-05-01
Cigarettes,1020,0,1989-05-01
Cigarettes,2030,.0099999905,1989-05-01
Cigarettes,3040,0,1989-05-01
Cigarettes,4050,.029999971,1989-05-01
Cigarettes,5060,.059999943,1989-05-01
Cigarettes,6070,.050000072,1989-05-01
Cigarettes,7080,0,1989-05-01
Cigarettes,8090,0,1989-05-01
Men's socks,10,1.35,1989-05-01
Men's socks,1020,.23500001,1989-05-01
Men's socks,2030,.40499997,1989-05-01
Men's socks,3040,0,1989-05-01
Men's socks,4050,.21000004,1989-05-01
Men's socks,5060,.29999995,1989-05-01
Men's socks,6070,.45000005,1989-05-01
Men's socks,7080,.125,1989-05-01
Men's socks,8090,.67499995,1989-05-01
Lettuce,10,.49000001,1989-06-01
Lettuce,1020,.099999964,1989-06-01
Lettuce,2030,.01000005,1989-06-01
Lettuce,3040,.060000002,1989-06-01
Lettuce,4050,.029999971,1989-06-01
Lettuce,5060,.060000002,1989-06-01
Lettuce,6070,.040000021,1989-06-01
Lettuce,7080,0,1989-06-01
Lettuce,8090,.060000002,1989-06-01
Cigarettes,10,1.46,1989-06-01
Cigarettes,1020,.0099999905,1989-06-01
Cigarettes,2030,0,1989-06-01
Cigarettes,3040,.0099999905,1989-06-01
Cigarettes,4050,.029999971,1989-06-01
Cigarettes,5060,.049999952,1989-06-01
Cigarettes,6070,.050000072,1989-06-01
Cigarettes,7080,0,1989-06-01
Cigarettes,8090,0,1989-06-01
Men's socks,10,1.39,1989-06-01
Men's socks,1020,.20000005,1989-06-01
Men's socks,2030,.39999998,1989-06-01
Men's socks,3040,0,1989-06-01
Men's socks,4050,.25999999,1989-06-01
Men's socks,5060,.25,1989-06-01
Men's socks,6070,.45000005,1989-06-01
Men's socks,7080,.049999952,1989-06-01
Men's socks,8090,.75,1989-06-01
Lettuce,10,.49000001,1989-07-01
Lettuce,1020,.060000002,1989-07-01
Lettuce,2030,.0099999905,1989-07-01
Lettuce,3040,.029999971,1989-07-01
Lettuce,4050,.030000031,1989-07-01
Lettuce,5060,.029999971,1989-07-01
Lettuce,6070,.040000021,1989-07-01
Lettuce,7080,.0049999952,1989-07-01
Lettuce,8090,.064999998,1989-07-01
Cigarettes,10,1.46,1989-07-01
Cigarettes,1020,0,1989-07-01
Cigarettes,2030,.0099999905,1989-07-01
Cigarettes,3040,.0099999905,1989-07-01
Cigarettes,4050,.024999976,1989-07-01
Cigarettes,5060,.054999948,1989-07-01
Cigarettes,6070,.050000072,1989-07-01
Cigarettes,7080,0,1989-07-01
Cigarettes,8090,0,1989-07-01
Men's socks,10,1.25,1989-07-01
Men's socks,1020,.25,1989-07-01
Men's socks,2030,.33000004,1989-07-01
Men's socks,3040,.15999997,1989-07-01
Men's socks,4050,0,1989-07-01
Men's socks,5060,.3599999,1989-07-01
Men's socks,6070,.25,1989-07-01
Men's socks,7080,.3900001,1989-07-01
Men's socks,8090,.50999999,1989-07-01
Lettuce,10,.49000001,1989-08-01
Lettuce,1020,.060000002,1989-08-01
Lettuce,2030,.050000012,1989-08-01
Lettuce,3040,.049999952,1989-08-01
Lettuce,4050,.040000021,1989-08-01
Lettuce,5060,.030000031,1989-08-01
Lettuce,6070,0,1989-08-01
Lettuce,7080,.029999971,1989-08-01
Lettuce,8090,.040000021,1989-08-01
Cigarettes,10,1.46,1989-08-01
Cigarettes,1020,0,1989-08-01
Cigarettes,2030,.0099999905,1989-08-01
Cigarettes,3040,.0099999905,1989-08-01
Cigarettes,4050,.019999981,1989-08-01
Cigarettes,5060,.059999943,1989-08-01
Cigarettes,6070,.050000072,1989-08-01
Cigarettes,7080,0,1989-08-01
Cigarettes,8090,0,1989-08-01
Men's socks,10,1.3200001,1989-08-01
Men's socks,1020,.21999991,1989-08-01
Men's socks,2030,.41000009,1989-08-01
Men's socks,3040,.039999962,1989-08-01
Men's socks,4050,.0049999952,1989-08-01
Men's socks,5060,.505,1989-08-01
Men's socks,6070,.45000005,1989-08-01
Men's socks,7080,.049999952,1989-08-01
Men's socks,8090,.5,1989-08-01
Lettuce,10,.47999999,1989-09-01
Lettuce,1020,.020000011,1989-09-01
Lettuce,2030,.079999983,1989-09-01
Lettuce,3040,.020000041,1989-09-01
Lettuce,4050,.060000002,1989-09-01
Lettuce,5060,.029999971,1989-09-01
Lettuce,6070,0,1989-09-01
Lettuce,7080,0,1989-09-01
Lettuce,8090,.050000012,1989-09-01
Cigarettes,10,1.46,1989-09-01
Cigarettes,1020,.0099999905,1989-09-01
Cigarettes,2030,0,1989-09-01
Cigarettes,3040,.0099999905,1989-09-01
Cigarettes,4050,.019999981,1989-09-01
Cigarettes,5060,.070000052,1989-09-01
Cigarettes,6070,.039999962,1989-09-01
Cigarettes,7080,0,1989-09-01
Cigarettes,8090,0,1989-09-01
Men's socks,10,1.3,1989-09-01
Men's socks,1020,.20000005,1989-09-01
Men's socks,2030,.45000005,1989-09-01
Men's socks,3040,.039999962,1989-09-01
Men's socks,4050,.0099999905,1989-09-01
Men's socks,5060,.5,1989-09-01
Men's socks,6070,.49000001,1989-09-01
Men's socks,7080,.0099999905,1989-09-01
Men's socks,8090,.9000001,1989-09-01
Lettuce,10,.47999999,1989-10-01
Lettuce,1020,.070000023,1989-10-01
Lettuce,2030,.039999962,1989-10-01
Lettuce,3040,.040000021,1989-10-01
Lettuce,4050,.019999981,1989-10-01
Lettuce,5060,.030000031,1989-10-01
Lettuce,6070,.019999981,1989-10-01
Lettuce,7080,.020000041,1989-10-01
Lettuce,8090,.059999943,1989-10-01
Cigarettes,10,1.46,1989-10-01
Cigarettes,1020,.019999981,1989-10-01
Cigarettes,2030,.019999981,1989-10-01
Cigarettes,3040,.0099999905,1989-10-01
Cigarettes,4050,.019999981,1989-10-01
Cigarettes,5060,.050000072,1989-10-01
Cigarettes,6070,.029999971,1989-10-01
Cigarettes,7080,.039999962,1989-10-01
Cigarettes,8090,0,1989-10-01
Men's socks,10,1.3200001,1989-10-01
Men's socks,1020,.27999997,1989-10-01
Men's socks,2030,.35000002,1989-10-01
Men's socks,3040,.039999962,1989-10-01
Men's socks,4050,.25999999,1989-10-01
Men's socks,5060,.25,1989-10-01
Men's socks,6070,.49000001,1989-10-01
Men's socks,7080,.16000009,1989-10-01
Men's socks,8090,.79999995,1989-10-01
Lettuce,10,.57999998,1989-11-01
Lettuce,1020,.069999993,1989-11-01
Lettuce,2030,.10000002,1989-11-01
Lettuce,3040,.050000012,1989-11-01
Lettuce,4050,.079999983,1989-11-01
Lettuce,5060,.0099999905,1989-11-01
Lettuce,6070,0,1989-11-01
Lettuce,7080,.060000002,1989-11-01
Lettuce,8090,.040000021,1989-11-01
Cigarettes,10,1.48,1989-11-01
Cigarettes,1020,.019999981,1989-11-01
Cigarettes,2030,.0099999905,1989-11-01
