date,division,up,down,level,up_ch,down_ch,total,up_sh,down_sh,level_sh,change_sh,division_s,division_sh,date2,date4,year,month,quarter
6,3,420,596,4716,.1177163,-.16684052,5732,.073272854,.10397767,.8227495,.17725053,Clothing and footwear,Clothing and footwear,01-07-1988,1988-07-01,1988,7,3
6,6,23,8,349,.049043056,-.041346937,380,.060526315,.021052632,.91842103,.081578948,Health,Health,01-07-1988,1988-07-01,1988,7,3
6,1,1118,1190,5211,.067892991,-.071249962,7519,.14868999,.15826572,.6930443,.3069557,Food and non-alcoholic beverages,Food & drink,01-07-1988,1988-07-01,1988,7,3
6,7,153,137,1091,.042572465,-.012640923,1381,.11078928,.099203475,.79000723,.20999277,Transport,Transport,01-07-1988,1988-07-01,1988,7,3
6,4,97,66,1109,.051658139,-.071565673,1272,.076257862,.051886793,.87185532,.12814465,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-07-1988,1988-07-01,1988,7,3
6,5,376,417,2998,.081915341,-.10005002,3791,.09918227,.10999736,.79082036,.20917964,"Furnishings, household equipment and maintenance",Household,01-07-1988,1988-07-01,1988,7,3
8,11,0,0,0,,,0,,,,,Restaurants and Hotels,Restaurants & Hotels,01-09-1988,1988-09-01,1988,9,3
8,1,0,0,0,,,0,,,,,Food and non-alcoholic beverages,Food & drink,01-09-1988,1988-09-01,1988,9,3
8,4,0,0,0,,,0,,,,,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-09-1988,1988-09-01,1988,9,3
8,12,0,0,0,,,0,,,,,Miscellaneous goods and services,Misc,01-09-1988,1988-09-01,1988,9,3
8,3,0,0,0,,,0,,,,,Clothing and footwear,Clothing and footwear,01-09-1988,1988-09-01,1988,9,3
8,6,0,0,0,,,0,,,,,Health,Health,01-09-1988,1988-09-01,1988,9,3
8,8,0,0,0,,,0,,,,,Communication,Communication,01-09-1988,1988-09-01,1988,9,3
8,2,0,0,0,,,0,,,,,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-09-1988,1988-09-01,1988,9,3
8,5,0,0,0,,,0,,,,,"Furnishings, household equipment and maintenance",Household,01-09-1988,1988-09-01,1988,9,3
8,9,0,0,0,,,0,,,,,Recreation and culture,Recreation & culture,01-09-1988,1988-09-01,1988,9,3
8,7,0,0,0,,,0,,,,,Transport,Transport,01-09-1988,1988-09-01,1988,9,3
9,2,636,180,2291,.023856027,-.025316507,3107,.20469907,.057933699,.73736721,.26263276,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-10-1988,1988-10-01,1988,10,4
9,3,427,172,4566,.14492758,-.12515645,5165,.082671829,.033301067,.88402712,.11597289,Clothing and footwear,Clothing and footwear,01-10-1988,1988-10-01,1988,10,4
9,6,21,6,353,.049043056,-.024390221,380,.055263158,.015789473,.92894739,.071052633,Health,Health,01-10-1988,1988-10-01,1988,10,4
9,11,561,34,3543,.047338925,-.034482725,4138,.13557275,.0082165301,.85621071,.14378928,Restaurants and Hotels,Restaurants & Hotels,01-10-1988,1988-10-01,1988,10,4
9,4,140,26,1073,.072115436,-.05473689,1239,.11299435,.020984665,.86602098,.13397902,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-10-1988,1988-10-01,1988,10,4
9,7,70,97,1157,.03463649,-.016874025,1324,.052870091,.073262841,.87386709,.12613294,Transport,Transport,01-10-1988,1988-10-01,1988,10,4
9,1,1069,818,5701,.058823559,-.06896545,7588,.14088033,.1078018,.75131786,.24868213,Food and non-alcoholic beverages,Food & drink,01-10-1988,1988-10-01,1988,10,4
9,12,127,41,1427,.066483557,-.073064074,1595,.079623826,.02570533,.89467084,.10532916,Miscellaneous goods and services,Misc,01-10-1988,1988-10-01,1988,10,4
9,9,98,92,1898,.081746802,-.083402835,2088,.046934865,.044061303,.90900385,.090996169,Recreation and culture,Recreation & culture,01-10-1988,1988-10-01,1988,10,4
