itemname,price,p,group,newdate
Semi skimmed milk,1020,.030000031,2,1991-09-01
Semi skimmed milk,2030,0,2,1991-09-01
Semi skimmed milk,3040,0,2,1991-09-01
Semi skimmed milk,4050,0,2,1991-09-01
Semi skimmed milk,5060,0,2,1991-09-01
Semi skimmed milk,6070,0,2,1991-09-01
Semi skimmed milk,7080,.0099999905,2,1991-09-01
Semi skimmed milk,8090,.019999981,2,1991-09-01
Microwave,10,109.99,2,1991-09-01
Microwave,1020,29.010002,2,1991-09-01
Microwave,2030,10.990005,2,1991-09-01
Microwave,3040,9.0099945,2,1991-09-01
Microwave,4050,10.899994,2,1991-09-01
Microwave,5060,10.090012,2,1991-09-01
Microwave,6070,4.9599915,2,1991-09-01
Microwave,7080,15.040009,2,1991-09-01
Microwave,8090,29.009995,2,1991-09-01
Semi skimmed milk,10,.52999997,2,1991-10-01
Semi skimmed milk,1020,.030000031,2,1991-10-01
Semi skimmed milk,2030,0,2,1991-10-01
Semi skimmed milk,3040,0,2,1991-10-01
Semi skimmed milk,4050,0,2,1991-10-01
Semi skimmed milk,5060,0,2,1991-10-01
Semi skimmed milk,6070,0,2,1991-10-01
Semi skimmed milk,7080,.0099999905,2,1991-10-01
Semi skimmed milk,8090,.019999981,2,1991-10-01
Microwave,10,119.99,2,1991-10-01
Microwave,1020,10.000008,2,1991-10-01
Microwave,2030,10,2,1991-10-01
Microwave,3040,10,2,1991-10-01
Microwave,4050,10,2,1991-10-01
Microwave,5060,10,2,1991-10-01
Microwave,6070,14.959991,2,1991-10-01
Microwave,7080,15.040009,2,1991-10-01
Microwave,8090,10,2,1991-10-01
Semi skimmed milk,10,.52999997,2,1991-11-01
Semi skimmed milk,1020,.030000031,2,1991-11-01
Semi skimmed milk,2030,0,2,1991-11-01
Semi skimmed milk,3040,0,2,1991-11-01
Semi skimmed milk,4050,0,2,1991-11-01
Semi skimmed milk,5060,0,2,1991-11-01
Semi skimmed milk,6070,0,2,1991-11-01
Semi skimmed milk,7080,.019999981,2,1991-11-01
Semi skimmed milk,8090,.0099999905,2,1991-11-01
Microwave,10,109.99,2,1991-11-01
Microwave,1020,20.000008,2,1991-11-01
Microwave,2030,10,2,1991-11-01
Microwave,3040,14.959991,2,1991-11-01
Microwave,4050,5.0400085,2,1991-11-01
Microwave,5060,10,2,1991-11-01
Microwave,6070,15,2,1991-11-01
Microwave,7080,6,2,1991-11-01
Microwave,8090,9,2,1991-11-01
Semi skimmed milk,10,.52999997,2,1991-12-01
Semi skimmed milk,1020,.030000031,2,1991-12-01
Semi skimmed milk,2030,0,2,1991-12-01
Semi skimmed milk,3040,0,2,1991-12-01
Semi skimmed milk,4050,0,2,1991-12-01
Semi skimmed milk,5060,0,2,1991-12-01
Semi skimmed milk,6070,.0099999905,2,1991-12-01
Semi skimmed milk,7080,.0099999905,2,1991-12-01
Semi skimmed milk,8090,.0099999905,2,1991-12-01
Microwave,10,109.99,2,1991-12-01
Microwave,1020,19.909996,2,1991-12-01
Microwave,2030,10.090012,2,1991-12-01
Microwave,3040,0,2,1991-12-01
Microwave,4050,20,2,1991-12-01
Microwave,5060,9.9899902,2,1991-12-01
Microwave,6070,10.01001,2,1991-12-01
Microwave,7080,19.009995,2,1991-12-01
Microwave,8090,.99000549,2,1991-12-01
Semi skimmed milk,10,.52999997,2,1992-01-01
Semi skimmed milk,1020,.030000031,2,1992-01-01
Semi skimmed milk,2030,0,2,1992-01-01
Semi skimmed milk,3040,0,2,1992-01-01
Semi skimmed milk,4050,0,2,1992-01-01
Semi skimmed milk,5060,0,2,1992-01-01
Semi skimmed milk,6070,.0099999905,2,1992-01-01
Semi skimmed milk,7080,.0099999905,2,1992-01-01
Semi skimmed milk,8090,.0099999905,2,1992-01-01
Microwave,10,99.989998,2,1992-01-01
Microwave,1020,29.995003,2,1992-01-01
Microwave,2030,.0050048828,2,1992-01-01
Microwave,3040,10,2,1992-01-01
Microwave,4050,10,2,1992-01-01
Microwave,5060,10,2,1992-01-01
Microwave,6070,20,2,1992-01-01
Microwave,7080,10,2,1992-01-01
Microwave,8090,10,2,1992-01-01
Semi skimmed milk,10,.51999998,2,1992-02-01
Semi skimmed milk,1020,.0099999905,2,1992-02-01
Semi skimmed milk,2030,.020000041,2,1992-02-01
