year,price
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.95
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,14.99
1990,15
1990,15
1990,15
1990,15
1990,15
1990,15
1990,15
1990,15
1990,15
1990,15
1990,15
1990,15.1
1990,15.1
1990,15.1
1990,15.17
1990,15.2
1990,15.2
1990,15.21
1990,15.21
1990,15.21
1990,15.45
1990,15.45
1990,15.45
1990,15.45
1990,15.45
1990,15.45
1990,15.49
1990,15.49
1990,15.49
1990,15.49
1990,15.49
1990,15.49
1990,15.49
1990,15.59
1990,15.6
1990,15.6
1990,15.6
1990,15.6
1990,15.6
1990,15.6
1990,15.6
1990,15.6
1990,15.6
1990,15.6
1990,15.6
1990,15.75
1990,15.75
1990,15.75
1990,15.75
1990,15.75
1990,15.75
1990,15.75
1990,15.75
1990,15.75
1990,15.75
1990,15.75
1990,15.75
1990,15.75
1990,15.8
1990,15.8
1990,15.8
1990,15.8
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.95
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,15.99
1990,16
1990,16
1990,16
1990,16
1990,16
1990,16
1990,16
1990,16
1990,16
1990,16
1990,16.200001
1990,16.200001
1990,16.200001
1990,16.200001
1990,16.200001
1990,16.200001
1990,16.200001
1990,16.200001
1990,16.200001
1990,16.25
1990,16.25
1990,16.25
1990,16.25
1990,16.43
1990,16.43
1990,16.43
1990,16.43
1990,16.43
1990,16.450001
1990,16.450001
1990,16.450001
1990,16.450001
1990,16.450001
1990,16.450001
1990,16.450001
1990,16.450001
1990,16.48
1990,16.48
1990,16.48
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.49
1990,16.5
1990,16.5
1990,16.5
1990,16.5
1990,16.5
1990,16.5
1990,16.5
1990,16.5
1990,16.549999
1990,16.6
1990,16.6
1990,16.6
1990,16.75
1990,16.75
1990,16.75
1990,16.75
1990,16.950001
1990,16.950001
1990,16.950001
1990,16.950001
1990,16.950001
1990,16.950001
1990,16.99
1990,16.99
1990,16.99
1990,16.99
1990,16.99
1990,16.99
1990,16.99
1990,16.99
1990,16.99
1990,16.99
1990,16.99
1990,16.99
1990,17
1990,17.35
1990,17.35
1990,17.35
1990,17.35
1990,17.35
1990,17.35
1990,17.35
1990,17.35
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.450001
1990,17.49
1990,17.49
1990,17.49
1990,17.49
1990,17.49
1990,17.49
1990,17.49
1990,17.530001
1990,17.530001
1990,17.530001
1990,17.530001
1990,17.530001
1990,17.549999
1990,17.549999
1990,17.75
1990,17.75
1990,17.75
1990,17.75
1990,17.75
1990,17.75
1990,17.75
1990,17.75
1990,17.75
1990,17.75
1990,17.75
1990,17.9
1990,17.9
1990,17.950001
1990,17.950001
1990,17.950001
1990,17.950001
1990,17.950001
1990,17.950001
1990,17.950001
1990,17.950001
1990,17.950001
