quote_date,item_id,name,date,median,price,p,keep,date2,date3,newDate,_merge
198805,320108,D. Cigarettes,4,1.4945834,10,1.4266666,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,320108,D. Cigarettes,4,1.4945834,1020,.0066666603,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,320108,D. Cigarettes,4,1.4945834,2030,.0091667175,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,320108,D. Cigarettes,4,1.4945834,3040,.018333316,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,320108,D. Cigarettes,4,1.4945834,4050,.033750057,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,320108,D. Cigarettes,4,1.4945834,5060,.03458333,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,320108,D. Cigarettes,4,1.4945834,6070,.022500038,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,320108,D. Cigarettes,4,1.4945834,7080,.019166589,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,320108,D. Cigarettes,4,1.4945834,8090,.010833383,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,510413,B. Men's socks,4,1.9046154,10,1.1415385,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,510413,B. Men's socks,4,1.9046154,1020,.19384611,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,510413,B. Men's socks,4,1.9046154,2030,.17769229,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,510413,B. Men's socks,4,1.9046154,3040,.16576922,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,510413,B. Men's socks,4,1.9046154,4050,.22576928,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,510413,B. Men's socks,4,1.9046154,5060,.2796154,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,510413,B. Men's socks,4,1.9046154,6070,.24576926,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,510413,B. Men's socks,4,1.9046154,7080,.433846,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198805,510413,B. Men's socks,4,1.9046154,8090,.47769237,1,01-05-1988,01-05-1988,1988-05-01,matched (3)
198806,212511,C. Lettuce,5,.68833333,10,.51999998,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,212511,C. Lettuce,5,.68833333,1020,.042083323,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,212511,C. Lettuce,5,.68833333,2030,.051250041,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,212511,C. Lettuce,5,.68833333,3040,.043333292,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
