description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id,p,up,down,level,up12,down12,level12,up_ch,down_ch,up_ch12,down_ch12,down_ch_mean,down_ch12_mean,all,down_sh,all12,down_sh12,division,group,year,month,quarter,cpih_coicop_weight,up_ch_weighted,up_ch12_weighted,freqRise_a,freqRise_m,freqFall_a,freqFall_m,sizeRise_a,sizeRise_m,sizeFall_a,sizeFall_m,WeightRise_a,WeightRise_m,dateMax,up_sh_longRun,up_ch_longRun,upRank12,downRank12
CD ALBUM (TOP 40),1,.37380955,.11111111,.083333336,630230,11,1,6,2,6,0,0,.083333336,-.13257577,.33571431,,-.15530303,,9,.66666669,6,0,9,901,2024,2,1,.66000003,.055000003,.24671431,1,241,555,2,128,469,,203,133,417,433,.18764541,.35451135,47,
CIGARETTES 15,1,.14022776,.17117117,.059436444,320115,13.3,19,3,89,101,0,0,.053941876,-.048872221,.13675217,,-.045605034,,111,.027027028,101,0,2,202,2024,2,1,4.7600002,.2829175,.66748416,2,143,550,378,436,511,,20,17,100,433,.21351193,.027509008,274,
HAND ROLLING TOBACCO PACK 30GM,.9909091,.22388376,.35537189,.057938199,320206,22.5,43,8,70,109,1,0,.023513149,-.077564538,.21293806,-.0097561348,-.074177973,-.0097561348,121,.0661157,110,.0090909088,2,202,2024,2,1,1.7,.09849494,.38060242,3,22,545,257,268,512,1,52,68,315,433,.2054632,.034622069,130,515
20 FILTER - OTHER BRAND,.99074072,.17024359,.27500001,.022962982,320122,15.44,33,4,83,107,1,0,.025974063,-.040633496,.17568626,-.067022093,-.035308693,-.067022093,120,.033333335,108,.0092592593,2,202,2024,2,1,4.0799999,.093688965,.69459385,4,50,544,354,366,540,17,11,16,328,433,.21754347,.025473462,190,465
CIGARETTES 8,.99074072,.15121686,.73333335,.031740144,320108,17.059999,88,4,28,107,1,0,.029894505,-.093989871,.1507403,-.19365081,-.12767588,-.19365081,120,.033333335,108,.0092592593,2,202,2024,2,1,5.7800002,.18345805,.87403351,5,2,543,355,407,533,264,143,12,172,433,.24233554,.022507481,236,196
5 CIGARS: SPECIFY BRAND,.98888886,.1067705,.019607844,.0351515,320205,8.25,2,5,95,89,1,0,.0351515,-.037974708,.095617503,-.04494378,-.041395798,-.04494378,102,.049019609,90,.011111111,2,202,2024,2,1,.17,.0059757549,.018150985,6,495,539,301,501,532,5,14,540,539,433,.21381365,.027426591,392,500
OLIVE OIL - 500ML - 1 LITRE,.98461539,.35974574,.35922331,.12665345,211408,6.5,74,13,119,192,2,1,.11874998,-.23529412,.39285713,-.22058825,-.22859058,-.22058825,206,.063106798,195,.010256411,1,101,2024,2,1,.81,.10258929,.29139405,7,20,541,269,140,390,326,363,106,307,433,.14455797,.32336539,32,149
FORTIFIED WINE  (70-75CL),.96753246,.2203245,.0053191488,.22222222,310406,12.99,1,8,179,149,3,2,.22222222,-.14814815,.20588236,-.28301886,-.14189179,-.31908709,188,.04255319,154,.019480519,2,201,2024,2,1,.31999999,.071111113,.070503838,8,538,529,317,272,259,498,168,416,379,433,.16485092,.13692506,135,83
INDIGESTION TABLETS 16-24 PACK,.95999998,.14020431,.05982906,.096752405,520202,2.8499999,7,2,108,48,1,1,.080321305,-.055762112,.090909094,-.28750002,-.055762112,-.28750002,117,.017094018,50,.02,6,601,2024,2,1,.89999998,.087077163,.12618388,9,359,527,435,437,446,459,30,303,342,433,.097710893,.12999529,410,78
WHISKY-70 CL BOTTLE,.94047618,.11097246,.13725491,.11546781,310401,17.75,14,8,80,79,2,3,.096774191,-.11764706,.075757578,-.090073526,-.12336681,-.090073526,102,.078431375,84,.023809524,2,201,2024,2,1,1.3,.15010814,.14426419,10,190,519,225,494,413,41,134,275,224,433,.20462194,.12126856,464,425
CANNED SWEETCORN 198-340G,.93684208,.17544615,.0049751243,.14285718,212608,1,1,3,197,178,11,1,.14285718,-.090909109,.11111114,-.14772727,-.10658308,-.18976253,201,.014925373,190,.057894737,1,101,2024,2,1,.13,.018571433,.022807999,11,539,463,445,351,358,254,102,534,511,433,.089320764,.12381648,331,283
CIDER FLAVOURED BOTT 500-568ML,.93650794,.10134436,.015228426,.16149174,310222,2.5,3,7,187,177,7,5,.07806693,-.14814818,.068181753,-.041666724,-.15335791,-.050399631,197,.035532996,189,.037037037,2,201,2024,2,1,.47999999,.077516034,.048645291,12,506,494,345,517,332,9,198,463,361,433,.07925427,.16360012,489,504
APPLE CIDER 4 CAN PK 440-500ML,.92647058,.12285253,.032558139,.068478577,310221,4.8499999,7,16,192,189,10,5,.1,-.041841064,.071428619,-.041841064,-.055758782,-.049409386,215,.074418604,204,.049019609,2,201,2024,2,1,.47999999,.032869715,.058969211,13,457,472,236,474,492,8,29,444,474,433,.12420437,.10202035,476,502
FUNERAL-CREMATION,.92413795,.086020477,.20068027,.035905112,440227,3261.5,59,5,230,268,14,8,.026436377,-.013207547,.061459839,-.048615851,-.04651675,-.087279804,294,.017006803,290,.048275862,12,1207,2024,2,1,2.0899999,.075041682,.17978279,14,100,475,436,537,530,39,21,213,370,433,.10814092,.057913605,502,492
VEGETABLE PICKLE 280-520G,.92090398,.18907996,0,,212905,2,0,1,197,163,3,11,,-.16666667,.14285715,-.085106306,-.16666667,-.14785592,198,.005050505,177,.016949153,1,101,2024,2,1,.13,,.024580393,15,561,533,506,329,,157,226,532,,433,.11095135,.14403251,255,432
PREMIUM LAGER - PINT 4.3-7.5%,.91071427,.082023114,.27000001,.056696221,310110,5.25,54,4,142,153,6,9,.039348818,-.10416668,.074879214,-.085705481,-.10788223,-.11109442,200,.02,168,.035714287,11,1101,2024,2,1,4.3499999,.24662855,.35680053,17,53,496,416,542,513,84,104,79,121,433,.11341383,.038061142,468,430
SMALL CAGED MAMMAL,.90769231,.11734463,0,,430623,11,0,1,74,59,0,6,,-.083333336,.1,,-.083333336,,75,.013333334,65,0,9,903,2024,2,1,.40000001,,.046937853,18,558,552,455,480,,,67,470,,433,.039282694,.1557194,373,
SPEC'Y BEER BOTT 500ML 4-5.5,.90721649,.12826361,.10628019,.071520403,310220,2,22,14,171,176,8,10,.043478325,-.1666667,.11111114,-.14270335,-.18436855,-.14963566,207,.067632847,194,.041237112,2,201,2024,2,1,.80000001,.057216324,.10261089,19,250,485,253,465,487,162,277,347,410,433,.091046564,.1971696,328,293
BISCUITS HALF CHOC 260-400G,.90052354,.2198112,.29577464,.25430703,210323,1.9,63,21,129,172,15,4,.26666665,-.11111111,.25,-.23076925,-.15709908,-.23293683,213,.098591551,191,.078534029,1,101,2024,2,1,.68000001,.17292878,.14947163,20,38,429,200,273,221,356,204,261,182,433,.19690153,.41221303,99,135
CREAM CRACKERS PACK 200G-300G,.89473683,.17452033,0,,210301,1.3,0,0,125,51,2,4,,,.13333337,-.3710407,,-.3710407,125,0,57,.03508772,1,101,2024,2,1,.68000001,,.11867382,21,554,497,529,356,,525,,318,,433,.08476948,.13762447,285,30
STOUT - 4 CAN PACK,.88484848,.14144249,.030927835,.091612443,310219,5.75,6,36,152,146,12,7,.098077789,-.079999998,.15000001,-.625,-.077126391,-.625,194,.18556701,165,.07272727,2,201,2024,2,1,.34999999,.032064356,.049504872,23,462,443,71,434,458,547,62,461,477,433,.1499266,.14472128,240,6
RUM WHITE EG BACARDI 70CL BOTT,.87368423,.079744324,.009708738,.050420187,310427,16,2,31,173,166,18,6,.050420187,-.14285715,.071428575,-.0031250119,-.12193711,-.065348081,206,.15048544,190,.094736844,2,201,2024,2,1,.5,.025210094,.039872162,24,523,403,111,544,519,16,131,488,497,433,.22008511,.18205796,480,517
BRAND CHOC SWEETS 90-185G BAG,.87261146,.17430139,.48369566,.11315828,212223,1.65,89,20,75,137,10,10,.099999987,-.083333321,.2,-.099508606,-.12368312,-.14893833,184,.10869565,157,.063694268,1,101,2024,2,1,.60000002,.067894973,.10458083,25,8,457,175,357,415,161,135,345,387,433,.15994096,.5552547,150,403
FIZZY BOTTLED DRINK 500ML,.872549,.10406032,.042735044,.15839875,212017,1.75,5,4,108,89,4,9,.091743141,-.079002097,.062500015,-.070634887,-.075828552,-.10087298,117,.034188036,102,.039215688,1,102,2024,2,1,1.1900001,.18849452,.12383179,26,415,491,349,506,337,64,59,309,166,433,.10201555,.12633967,499,458
GIN BOTTLE 70CL,.87128711,.13102192,.1273585,.18880753,310429,17.75,27,15,170,176,22,4,.2,-.13043478,.094494045,-.13043478,-.1298231,-.15604088,212,.070754714,202,.10891089,2,201,2024,2,1,.94999999,.17936715,.12447082,27,204,386,248,459,290,175,148,307,176,433,.21413998,.16782847,393,318
MAYONNAISE 390-500G/420-540MLS,.86250001,.15234803,.064516127,.19333333,212930,2.49,12,6,168,138,3,19,.2,-.058490597,.11769234,-.27083337,-.14882931,-.30198416,186,.032258064,160,.018750001,1,101,2024,2,1,.40000001,.077333331,.060939211,28,339,530,358,405,286,478,186,438,363,433,.13167471,.28464893,313,98
ANNUAL BOOSTER INJECTION,.86131388,.17255341,.039215688,.1060458,430621,61,6,2,145,118,3,16,.096371882,-.0080025289,.141148,-.02631579,-.0080025289,-.026464587,153,.013071896,137,.02189781,9,903,2024,2,1,1.5,.1590687,.2588301,29,430,522,458,360,425,2,4,124,208,433,.06685327,.06590642,269,509
RESTAURANT MAIN COURSE,.85972852,.11132921,.10080645,.037967917,220128,15.125,25,4,219,190,9,22,.021505391,-.13156593,.097619042,-.05882353,-.1115501,-.11095794,248,.016129032,221,.040723983,11,1101,2024,2,1,4.3499999,.16516043,.48428205,30,266,488,439,493,529,83,112,37,198,433,.10426158,.069874473,386,478
BOOK - FICTION - HARD COVER,.85840708,.31696162,.34848484,.62747401,630435,16,46,5,81,97,15,1,.555336,-.27272728,.22222222,-.26617745,-.31272727,-.25982067,132,.037878789,113,.13274336,9,905,2024,2,1,.12,.075296879,.038035393,31,23,356,336,171,26,413,465,495,369,433,.28394842,.30419132,123,104
VODKA-70 CL BOTTLE,.85310733,.13160047,.014084507,.029681168,310403,16,3,56,154,151,22,4,.019607844,-.1388889,.10708267,-.17863162,-.17860676,-.17863162,213,.26291078,177,.12429378,2,201,2024,2,1,1.3,.038585518,.1710806,32,512,368,32,458,535,236,261,228,467,433,.19200176,.10354816,353,216
"HAT/CAP, ADULT",.85207099,.76035285,.21256039,.51078957,510434,8,44,46,117,144,14,11,.65615135,-.16961537,.69047618,-.26544374,-.28284678,-.35814095,207,.22222222,169,.082840234,3,301,2024,2,1,1.15,.58740801,.87440574,33,93,421,45,23,59,518,440,11,17,433,.148541,.39912334,9,106
FISH & CHIPS TAKEAWAY,.85135138,.12759861,.06818182,.095827155,220301,9.5,6,0,82,63,1,10,.052482184,,.11578951,-.15384616,,-.15384616,88,0,74,.013513514,11,1101,2024,2,1,1.74,.16673926,.22202159,34,334,536,540,467,449,172,,152,195,433,.090258382,.058945652,315,269
VODKA (PER NIP) SPECIFY ML,.85057473,.091759846,.25365853,.027972121,310302,4.0999999,52,5,148,148,8,18,.020454472,-.14502162,.066228107,-.095636427,-.11424931,-.11827733,205,.024390243,174,.045977011,11,1101,2024,2,1,5.2199998,.14601447,.47898638,35,63,480,393,528,537,99,118,40,235,433,.10338549,.052952245,497,408
"WINE, PER 175 - 250 ML SERVING",.84117645,.15144382,.245,.062703282,310310,4.8000002,49,5,146,143,11,16,.040816288,-.085714273,.088235274,-.079999991,-.14882475,-.10970361,200,.025,170,.064705886,11,1101,2024,2,1,3.48,.21820742,.52702451,36,68,453,391,406,505,78,185,27,137,433,.087513596,.080938034,419,439
CIDER 4.5%-5.5% ABV PINT/BOTTL,.83625734,.09138637,.2955665,.086484455,310114,4.5999999,60,2,141,143,17,11,.040892154,-.10924192,.07142859,-.12244896,-.10924192,-.1467976,203,.0098522166,171,.099415205,11,1101,2024,2,1,2.6099999,.22572441,.23851842,37,39,395,479,530,465,154,107,136,133,433,.11522441,.051329266,477,347
LAGER 4 BOTTLES- PREMIUM,.83157897,.17557439,.15277778,.16156095,310215,5.6999998,33,31,152,158,6,26,.1894737,-.16666667,.11111111,-.080197766,-.15420689,-.12796469,216,.14351852,190,.031578947,2,201,2024,2,1,1.5,.24234143,.26336157,38,163,507,121,350,331,119,202,119,125,433,.15773381,.18067259,335,438
LIQUEUR PER NIP   SPECIFY ML,.83040935,.10359567,.23999999,.049238112,310307,3.625,48,2,150,142,7,22,.039711241,-.14722219,.077235796,-.07692308,-.14722219,-.13368559,200,.0099999998,171,.040935673,2,201,2024,2,1,4.3499999,.21418577,.45064113,39,73,486,476,509,523,131,182,47,144,433,.089309312,.059260685,454,444
CHOCOLATE COVERED ICE CREAM,.82822084,.24169166,.015544041,.49116302,212938,.88,3,29,161,135,22,6,.19277112,-.10869568,.22727278,-.74857146,-.16910096,-.53037834,193,.15025906,163,.13496932,1,101,2024,2,1,.89999998,.4420467,.21752249,40,505,351,112,246,69,544,240,158,36,433,.16465403,.47405347,120,3
RESIDENTIAL HOME,.82706767,.14400424,.10489511,.093090661,520324,1123.905,15,0,128,110,2,21,.068888888,,.10610487,-.0982472,,-.0982472,143,0,133,.015037594,12,1204,2024,2,1,.07,.0065163462,.010080297,41,256,535,532,428,454,57,,557,537,433,.065354891,.066357628,354,407
LAGER - PINT 3.4-4.2%,.82658958,.07956779,.27722773,.049780309,310109,4.3000002,56,5,141,143,17,13,.031073485,-.056179777,.064139947,-.090909116,-.053218141,-.10876063,202,.024752475,173,.098265894,11,1101,2024,2,1,5.2199998,.25985321,.41534385,42,46,400,392,545,521,76,26,57,118,433,.11204604,.048227035,498,417
FLAVOURED WATER BOTT 900ML-1.5,.82564104,.14539067,.2292683,.45451948,212024,.85000002,47,3,155,161,27,7,.58823526,-.2461538,.090909109,-.07142859,-.19919024,-.11405087,205,.014634146,195,.13846155,1,102,2024,2,1,.20999999,.09544909,.030532042,43,81,347,447,423,91,92,307,521,323,433,.15104176,.27966154,404,455
FRESH VEG-CUCUMBER-WHOLE,.824,.20778859,.72635138,.070087761,212510,.89999998,215,11,70,206,32,12,.047058776,-.15294117,.18666665,-.21304347,-.17758496,-.20995905,296,.037162162,250,.12800001,1,101,2024,2,1,.25999999,.018222816,.054025032,44,3,361,337,290,489,305,258,451,513,433,.2667796,.23887736,175,157
CARTON/BOX OF CHOCS 150-400GM,.82352942,.19284627,.097222224,.17045076,212218,5.0999999,7,19,46,42,8,1,.14285715,-.22580644,.090909094,-.18421052,-.23131056,-.19158266,72,.2638889,51,.15686275,1,101,2024,2,1,1,.17045076,.19284627,45,269,328,30,321,315,258,372,193,185,433,.11134443,.27845219,409,204
"SWEETS, NOT CHOC, 150-250G BAG",.82312924,.25608379,.1754386,.16907541,212224,1.5,30,2,139,121,5,21,.16666667,-.19270834,.22222228,-.090909079,-.19270834,-.1063339,171,.011695907,147,.034013607,1,101,2024,2,1,.40000001,.067630164,.10243352,46,134,500,467,234,319,72,296,348,389,433,.094622657,.42935443,122,423
FRESH VEG-CARROTS-PER KG,.81949461,.29749846,.27666667,.094531313,212518,.64999998,83,7,210,227,23,27,.083333254,-.1538461,.29999995,-.20958079,-.14394037,-.25644118,300,.023333333,277,.083032489,1,101,2024,2,1,.25999999,.024578141,.077349596,47,48,420,398,191,451,403,173,401,498,433,.1983535,.22656317,65,163
BOOK-NON-FICTION-PAPER-BACK,.81818181,.49938187,.57608694,.2289802,630426,10.99,53,23,16,72,9,7,.1001001,-.08629445,.37261957,-.35314891,-.19745815,-.29551423,92,.25,88,.10227273,9,905,2024,2,1,1.02,.2335598,.50936949,48,5,391,38,62,247,469,303,33,132,433,.12625362,.27703536,39,38
FRUIT JUICE BOTTLE 250-350ML,.81632656,.10860951,.2972973,.049659885,220125,2.9000001,55,2,128,120,4,23,.041474614,-.074664645,.076190524,-.28857142,-.074664645,-.23875965,185,.010810811,147,.027210884,11,1101,2024,2,1,.87,.043204099,.094490275,49,37,515,470,496,522,368,54,365,444,433,.077236749,.060389992,462,75
DRIED POTTED SNACK 50-120G,.80952382,.21074425,.14953271,.49816182,212934,1.2,16,14,77,68,12,4,.60000008,-.19999999,.1666666,-.15343913,-.18775509,-.17171314,107,.13084112,84,.14285715,1,101,2024,2,1,.34,.16937502,.071653046,50,174,343,137,285,65,218,285,412,188,433,.14362937,.34431747,207,271
GIN PER NIP,.80681819,.098738119,.24271844,.035331335,310316,3.95,50,6,150,142,13,21,.039139137,-.10101013,.076923065,-.35714281,-.14272067,-.26154441,206,.029126214,176,.073863633,11,1101,2024,2,1,4.3499999,.15369131,.4295108,51,69,441,370,521,531,417,171,55,217,433,.1478527,.10289156,460,36
WHITE WINE- NEW WORLD 75CL,.80110496,.19656412,.13978495,.28274557,310420,8,26,36,124,145,14,22,.15789473,-.125,.14285715,-.13203463,-.13987754,-.13225777,186,.19354838,181,.077348068,2,201,2024,2,1,1.6,.45239291,.3145026,53,186,432,64,311,191,128,164,94,32,433,.19352962,.26008341,262,314
SWIMMING POOL ADM STND ADULT,.79754603,.10225534,.029940119,.072321869,640219,5.5999999,5,3,159,130,4,29,.054545488,-.071428575,.095695987,-.047077913,-.087341391,-.086786814,167,.017964073,163,.024539877,9,904,2024,2,1,.27000001,.019526906,.027608944,54,467,517,427,513,485,38,71,526,508,433,.072121099,.072545052,391,498
FROZEN CHIPS 900G-1.5KG,.79752064,.18611673,.021818181,.305756,212405,2.75,6,33,236,193,24,25,.41,-.15384619,.086956546,-.19366667,-.19252874,-.16910225,275,.12,242,.099173553,1,101,2024,2,1,.77999997,.23848967,.14517105,55,491,397,157,335,175,207,294,270,127,433,.1247911,.27193972,425,195
WHISKY (PER NIP) SPECIFY ML,.79640716,.13594028,.26368159,.074933991,310301,3.7,53,3,145,133,12,22,.039548054,-.17647062,.076023385,-.14087304,-.1613182,-.19428958,201,.014925373,167,.07185629,11,1101,2024,2,1,2.6099999,.19557771,.35480413,56,57,445,444,449,482,266,217,81,158,433,.10125947,.057765853,463,295
TAKEAWAY SOFT DRINK,.79569894,.10540788,.066371679,.045056462,220320,1.8,15,7,204,148,12,26,.027777819,-.090909094,.082482964,-.12755325,-.18556771,-.19120471,226,.030973451,186,.064516127,11,1101,2024,2,1,.87,.039199121,.091704853,57,338,455,365,503,525,257,280,370,464,433,.066565804,.10651396,446,325
CONTINENTAL SLICED DELI MEAT,.79562044,.1418134,.075862072,.33333322,211024,2.95,11,1,133,109,9,19,.33333322,-.28571427,.11111113,-.16666667,-.28571427,-.20008132,145,.0068965517,137,.065693431,1,101,2024,2,1,.85000002,.28333324,.12054139,58,308,450,496,432,158,282,443,314,99,433,.089189045,.24709624,333,236
BOTTLED PREMIUM LAGER 4.3-7.5%,.79503107,.078761362,.22959183,.047222152,310111,4.3000002,45,7,144,128,8,25,.03915666,-.11299431,.07476636,-.090935647,-.11750843,-.15180072,196,.035714287,161,.049689442,11,1101,2024,2,1,.87,.041083273,.068522386,59,80,470,342,548,524,166,124,418,455,433,.10075595,.05584655,469,416
PLAIN BISCUITS-200-300G,.78494626,.20343894,.016949153,.51999998,210302,1.375,2,5,111,73,6,14,.51999998,-.30555552,.20689651,-.45378155,-.20741895,-.46479928,118,.042372882,93,.064516127,1,101,2024,2,1,1.1900001,.61879998,.24209234,60,504,454,319,296,55,537,326,134,15,433,.089035854,.13760449,134,15
CHOCOLATE 12,.78333336,.15249358,.3197279,.096103236,212226,.64999998,47,1,99,94,4,22,.10810808,-.28571433,.11287755,-.14777923,-.28571433,-.15902893,147,.0068027209,120,.033333335,1,101,2024,2,1,.30000001,.028830972,.045748077,61,28,501,497,403,448,183,444,471,487,433,.089696676,.28463823,321,281
FROZEN BEEFBURGERS PACK OF 4,.78260869,.18791184,.013333334,.20634915,210414,3.25,1,2,72,54,3,12,.20634915,-.098344758,.1,-.0625,-.098344758,-.074999988,75,.026666667,69,.043478262,1,101,2024,2,1,.34,.070158713,.063890025,62,513,481,381,332,271,24,84,430,382,433,.1031246,.25873622,375,472
COUGH LIQUID BOTTLE 150-200MLS,.78048778,.1572707,.064516127,.14346096,520251,5.5,12,33,141,64,13,5,.11111111,-.083333336,.13684213,-.14499998,-.16556922,-.13000806,186,.17741935,82,.15853658,6,601,2024,2,1,.83999997,.1205072,.13210738,63,341,326,79,396,357,125,225,296,277,433,.13063236,.19777721,273,287
TEA BAGS-2-PACKET OF 240,.77999997,.18373154,.40441176,.10287479,211904,5.5,55,6,75,117,16,17,.095238097,-.067289747,.14583328,-.33194152,-.067082055,-.28249258,136,.044117648,150,.10666667,1,102,2024,2,1,.12,.012344974,.022047784,64,15,387,314,338,430,451,47,536,528,433,.18526264,.32670549,246,49
FRUIT JUICE NOT ORANGE 1L,.77884614,.14800896,.25663716,.065994829,212006,1.25,29,4,80,81,16,7,.043478325,-.24713138,.11538469,-.041666724,-.20609774,-.13853702,113,.03539823,104,.15384616,1,102,2024,2,1,.41999999,.027717827,.062163759,65,60,331,346,415,499,134,324,434,490,433,.091675624,.18591063,318,503
BOOK FICTION P/BACK TOP 10,.77639753,.12213633,.0058823531,.33377838,630439,8.9899998,1,34,135,125,2,34,.33377838,-.090909094,.11123471,-.17446432,-.10538293,-.17446432,170,.2,161,.01242236,9,905,2024,2,1,.36000001,.12016022,.04396908,66,534,538,58,475,154,223,101,477,278,433,.096394166,.2399939,326,223
"SEEDS,PKT,SPEC VAR(SEASONAL)",.77419353,.51615757,.23943663,.56138122,630526,2.79,17,1,53,48,4,10,.45833328,-.066889651,.45833328,-.18344031,-.066889651,-.2222966,71,.014084507,62,.064516127,9,903,2024,2,1,.34999999,.19648342,.18065515,67,74,456,450,56,41,329,45,210,156,433,.058108855,.4523302,24,206
CHILLED POT DESSERT 125-200G,.7735849,.21510766,.024590164,.17546587,211808,.89999998,3,10,109,82,8,16,.11764701,-.047619004,.17592596,-.15350875,-.055186111,-.1698349,122,.081967212,106,.075471699,1,101,2024,2,1,.76999998,.13510871,.1656329,68,486,435,219,278,307,213,28,237,253,433,.068310663,.22448801,189,270
HOT CHOCOLATE DRINK INSTANT,.76800001,.22230035,.4364641,.13347392,213005,3.2,79,21,81,96,23,6,.099999987,-.32432434,.16666667,-.21875001,-.26307151,-.24078754,181,.1160221,125,.184,1,102,2024,2,1,.14,.018686349,.031122049,69,12,284,162,270,379,375,419,518,510,433,.11775021,.28279585,204,151
BACON-GAMMON-PER KG,.76744187,.21031041,.040816326,.11676139,210802,9,6,8,133,99,9,21,.077142864,-.012638219,.11111111,-.12453112,-.036451455,-.10072761,147,.054421768,129,.069767445,1,101,2024,2,1,.34,.039698873,.071505539,70,425,446,290,286,409,62,12,413,461,433,.11885711,.15710448,337,343
DOG FOOD-CAN-385-400GM,.76704544,.27790046,.021621622,.067919195,430613,1.1,4,3,178,135,11,30,.073333345,-.1538461,.10000002,-.13913041,-.15765177,-.22440225,185,.016216217,176,.0625,9,903,2024,2,1,1.3,.088294953,.36127058,71,492,458,438,210,494,334,206,76,341,433,.079498194,.10469419,370,299
WHOLE SPONGE CAKE NOT FROZEN,.76404494,.1619596,.14545454,.20544407,210320,2.99,16,16,78,68,7,14,.25,-.16666667,.088333324,-.014705938,-.14529221,-.026738003,110,.14545454,89,.078651689,1,101,2024,2,1,1.02,.20955294,.16519879,72,179,428,118,386,273,3,176,238,147,433,.11678541,.24263194,416,512
FRUIT FRESH SNACKING 150-350G,.76303315,.20351453,.11538462,.099666648,212730,2.3499999,24,1,183,161,17,33,.11111109,-.080000021,.080000021,-.054054067,-.080000021,-.09127868,208,.0048076925,211,.080568723,1,101,2024,2,1,.31999999,.031893328,.065124646,73,230,424,509,295,439,45,64,425,480,433,.056953304,.19104862,451,484
PUB -HOT MEAL,.76282054,.11473779,.28947368,.063002996,220107,11.95,55,6,129,119,12,25,.039175272,-.1760996,.090452291,-.18033884,-.17901926,-.16454777,190,.031578947,156,.07692308,11,1101,2024,2,1,4.3499999,.27406302,.49910936,74,43,434,363,486,503,191,264,35,107,433,.076009542,.098765805,413,211
BANANAS-PER KG,.76170212,.18747365,.0077821012,.10507246,212719,.89999998,2,11,244,179,9,47,.10507246,-.10000002,.15384616,-.12359552,-.11472496,-.17472114,257,.042801555,235,.038297873,1,101,2024,2,1,.72000003,.075652175,.13498104,75,530,493,315,333,428,224,120,290,367,433,.13736109,.18623497,233,345
BOTTLE OF WINE 70-75CL,.75999999,.10562761,.051383398,.08394634,310315,22.75,13,5,235,171,11,43,.070175417,-.041666668,.083333336,-.13396223,-.043412261,-.11993203,253,.019762846,225,.048888888,11,1101,2024,2,1,3.48,.29213327,.36758408,76,384,473,417,502,468,100,16,73,87,433,.063278571,.075538345,442,310
LARGE LOAF-WHITE-UNSLICED-800G,.75925928,.094449006,.26153848,.075322665,210102,1.45,17,1,47,41,1,12,.07407409,-.43333331,.10714284,-.3928571,-.43333331,-.3928571,65,.015384615,54,.018518519,1,101,2024,2,1,.34,.025609706,.032112662,77,58,532,441,523,481,532,504,514,495,433,.10248772,.13527098,351,24
BLUEBERRIES PUNNET OR PER KG,.75724638,.34773913,.075235106,.18679255,212733,12,24,96,199,209,57,10,.18333951,-.099774942,.25023431,-.099774942,-.13316268,-.1973377,319,.30094042,276,.20652173,1,101,2024,2,1,.47999999,.089660421,.16691478,78,309,250,20,146,298,276,153,236,338,433,.20841266,.27224255,89,402
BRANDY 70CL BOTTLE,.75714284,.10926566,.070707068,.22276206,310405,16.49,7,21,71,53,7,10,.33333334,-.18181819,.09259259,-.15789473,-.1680104,-.20132855,99,.21212122,70,.1,2,201,2024,2,1,.25,.055690516,.027316414,79,324,394,49,495,258,283,235,529,414,433,.16498592,.12669742,397,258
H K LIVER PER KG STATE TYPE,.75,.054443587,.25641027,.50469106,211027,4.5,30,0,87,57,5,14,.083333254,,.071428619,-.0016667048,,-.092575103,117,0,76,.065789476,1,101,2024,2,1,.17,.085797481,.0092554102,80,61,449,522,560,61,48,,558,345,433,.063393749,.2011072,474,518
DRAUGHT BITTER (PER PINT),.74820143,.10348964,.22346368,.080480814,310102,4,40,15,124,104,20,15,.039711241,-.02183404,.066987239,-.019704415,-.065655053,-.060547743,179,.083798885,139,.1438849,11,1101,2024,2,1,3.48,.28007323,.36014396,81,82,341,218,510,475,15,43,78,102,433,.11858973,.048203789,494,511
CINEMA POPCORN,.74576271,.12705564,.014285714,.5714286,220324,5.9899998,1,0,69,44,0,15,.5714286,,.091074683,,,,70,0,59,0,11,1101,2024,2,1,.87,.49714288,.11053841,83,511,559,521,468,38,,,334,23,433,.066870905,.062893063,402,
COLD/FLU DRINK POWDER,.74576271,.10153149,.01904762,.098610684,520242,5.29,2,16,87,44,12,3,.098610684,-.14285715,.069999978,-.090909056,-.13419636,-.092105232,105,.15238096,59,.20338982,6,601,2024,2,1,.89999998,.08874961,.091378339,82,502,256,108,515,443,46,155,372,340,433,.10183049,.15187317,483,424
RESTAURANT - SWEET COURSE,.74553573,.11231861,.055776894,.12052421,220122,6.9499998,14,2,235,167,7,50,.070818365,-.035087742,.086355783,-.075630225,-.035087742,-.15708195,251,.0079681277,224,.03125,11,1101,2024,2,1,1.74,.20971213,.19543438,84,369,509,488,491,400,178,10,189,146,433,.06403137,.089320906,429,448
BITTER-4CANS-440-500ML,.74418604,.13492563,.04255319,.0629007,310207,5,4,4,86,64,11,11,.028042302,-.15000001,.13586956,-.11458337,-.12812501,-.10615817,94,.04255319,86,.12790698,2,201,2024,2,1,.80000001,.050320562,.10794051,85,417,362,318,450,504,71,145,340,430,433,.13133532,.15074733,278,367
BOTTLED MINERAL WATER,.74305558,.13081665,.26966292,.072226979,220117,2.2,48,1,129,107,5,32,.039999962,-.07142859,.083333254,-.28260869,-.07142859,-.2873154,178,.0056179776,144,.034722224,11,1101,2024,2,1,.87,.062837474,.11381049,86,54,498,503,462,486,458,48,330,399,433,.069035977,.088865086,444,84
