description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id,p,up,down,level,up12,down12,level12,up_ch,down_ch,up_ch12,down_ch12,down_ch_mean,down_ch12_mean,all,down_sh,all12,down_sh12,division,group,year,month,quarter,cpih_coicop_weight,up_ch_weighted,up_ch12_weighted,freqRise_a,freqRise_m,freqFall_a,freqFall_m,sizeRise_a,sizeRise_m,sizeFall_a,sizeFall_m,WeightRise_a,WeightRise_m,dateMax,up_sh_longRun,up_ch_longRun,upRank12,downRank12
PRE-RECORDED DVD (FILM),.25,.65714288,.043478262,.25,630228,10,1,3,19,5,8,7,.25,-.33333334,.42857143,-.30000001,-.33055556,-.28956044,23,.13043478,20,.40000001,9,901,2024,2,1,.47999999,.12,.31542858,489,411,58,138,33,228,462,476,93,279,433,.21307468,.38437757,27,67
WOODSCREWS STEEL/ZIN PLATED PK,.24637681,.2478113,.056179777,.3914136,410638,3.5,5,1,83,17,6,46,.14285715,-.14932683,.14285715,-.1393839,-.14932683,-.12378389,89,.011235955,69,.086956523,5,506,2024,2,1,.47999999,.18787852,.11894942,490,368,416,469,244,118,109,188,317,167,433,.052040707,.1699207,258,298
GREETINGS CARD; STATE CODE,.24460432,.42240751,.029411765,.23290935,430526,2,6,4,194,34,19,86,.25,-.15555556,.29437226,-.2,-.1512683,-.20871499,204,.019607844,139,.13669065,9,905,2024,2,1,2,.4658187,.84481502,491,470,349,419,102,240,303,193,14,29,433,.036845326,.17243458,69,191
"DISP NAPPIES, SPEC TYPE, 20-60",.24431819,.46180716,.0625,.19585972,520219,6,12,20,160,43,65,68,.088972405,-.33411765,.29799995,-.056179777,-.32737869,-.098073252,192,.10416666,176,.36931819,12,1201,2024,2,1,.47999999,.094012663,.22166744,492,352,81,183,78,283,56,473,154,327,433,.09490896,.20317353,67,482
KITCH BASE UNIT WIDTH 800-1000,.24210526,.13374487,.043956045,.17124008,430119,156,4,9,78,23,40,32,.18581781,-.2,.022900764,-.10344828,-.18441127,-.22983569,91,.0989011,95,.42105263,5,501,2024,2,1,1.14,.19521369,.15246914,493,409,52,198,453,312,348,278,254,159,433,.13821839,.29877675,529,391
TISSUES-LARGE SIZE BOX,.23913044,.22330503,.044642858,.49333334,520213,1.5,5,15,92,22,35,35,.40000001,-.038461503,.2,-.10714284,-.09889058,-.12833576,112,.13392857,92,.38043478,12,1201,2024,2,1,.80000001,.39466667,.17864403,494,406,73,133,269,66,121,88,218,47,433,.11150308,.22395623,158,385
PARMESAN CHEESE-PER KG,.23655914,.088907421,.03846154,.055378247,211510,21,4,11,89,22,30,41,.055964421,-.027855152,.038779836,-.085714288,-.073302127,-.12329976,104,.10576923,93,.32258064,1,101,2024,2,1,.44,.024366429,.039119266,495,436,122,180,533,514,107,51,490,500,433,.080049053,.12460344,523,429
CHILD'S SOFT TOY/TEDDY BEAR,.23300971,.1892594,.090163931,.41949397,630332,9.6000004,11,35,76,24,46,33,.40080163,-.14285715,.066666707,-.20010009,-.15921801,-.28799123,122,.28688523,103,.44660193,9,903,2024,2,1,.40000001,.1677976,.075703762,496,283,46,22,328,107,460,208,407,191,433,.071097232,.37925127,496,176
WOMENS LEGGINGS FULL LENGTH,.23232323,.57340282,.045662101,.96745408,510258,10.495,10,17,192,46,55,97,.73333335,-.16666667,.29166669,-.25,-.19021294,-.29652965,219,.077625573,198,.27777779,3,301,2024,2,1,.34,.3289344,.19495696,497,402,165,228,45,4,473,292,190,69,433,.069452912,.52535886,70,117
CLEAR STICKY TAPE,.22988506,.98866123,.02919708,.21606827,430525,1.99,4,14,119,20,21,46,.20080321,-.2,.19600001,-.15555555,-.19778013,-.23588483,137,.10218978,87,.24137931,9,905,2024,2,1,.30000001,.064820483,.29659837,498,472,204,190,12,263,361,304,101,394,433,.053590324,.24900214,166,259
PAINT BRUSH-2INCH/5CM WIDTH,.2278481,.19098878,.019417476,.3401981,410607,4.25,2,2,99,18,21,40,.3401981,-.14560756,.086458191,-.46153846,-.14560756,-.36383599,103,.019417476,79,.2658228,4,403,2024,2,1,.059999999,.020411886,.011459326,500,497,180,422,326,151,522,178,553,506,433,.063379966,.15523131,428,13
CONSTRUCTION TOY: SPEC KIT NO,.22368421,.31046018,.0625,.75598645,630314,16.494999,6,4,86,17,22,37,.3888889,-.16260579,.2859185,-.33333334,-.16683283,-.3080911,96,.041666668,76,.28947368,9,903,2024,2,1,.40000001,.3023946,.12418407,501,351,149,323,177,17,483,231,308,82,433,.084535562,.2599867,71,45
CREAM LIQUER 70CL-1LT 14-20%,.22155689,.23865704,.081081077,.091066174,310428,16.5,15,24,146,37,56,74,.039999999,-.40909091,.20120123,-.13456382,-.35041967,-.16324247,185,.12972973,167,.33532935,2,201,2024,2,1,.25,.022766544,.059664261,502,299,112,140,253,459,189,486,442,504,433,.19096044,.24671373,139,309
FRIDGE/FREEZER SPEC CAPACITIES,.21910113,.21568947,.19576719,.10287664,430362,470,37,20,132,39,82,57,.075187966,-.050125312,.1002004,-.12987013,-.062367864,-.13917933,189,.1058201,178,.46067417,5,503,2024,2,1,1.52,.15637249,.32784799,503,107,41,178,276,429,135,39,88,210,433,.2297031,.10791735,368,322
CYCLE HELMET 12+ SPEC ROAD/MOU,.2173913,.49171808,.19895288,.13431214,620319,35,38,4,149,40,26,118,.14285715,-.19884616,.20012,-.16198502,-.21059284,-.22436137,191,.020942409,184,.14130434,3,301,2024,2,1,.40000001,.053724855,.19668724,504,102,345,409,67,376,333,334,187,422,433,.070150115,.2229169,143,252
