description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id
"COLA DRINK, REG,BOTTLE,1.25-2L",.82467532,.32802337,.031088082,.25932872,212025
TEA -TAKE-AWAY,.82432431,.14947474,.090909094,.086094886,220305
VARNISH-CLEAR GLOSS-750ML-1LTR,.82417583,.11884371,.06779661,.1246956,410621
5 CIGARS: SPECIFY BRAND,.82291669,.12307943,.11818182,.026022105,320205
CHINESE TAKEAWAY,.82278478,.1258032,.083333336,.060381338,220319
"DOG TREATS,SPEC,TYPE 70-400G",.822335,.87554228,.047619049,.28116375,430626
BACON-GAMMON-PER KG,.8214286,.1862566,.16149068,.1095667,210802
CRUMPETS PACK 6-9 SPEC NUMBER,.81987578,.60092497,.22222222,.31186849,210324
ALUMIN COOKING FOIL 290-300MM,.81914896,.36026713,.15384616,.11093833,430505
COOKED MEAT TURKEY/CHICK SLICE,.81589961,.17752284,.20502092,.10417735,211029
BLEACH 750ML,.81512606,.26962262,.25547445,.21054468,430529
ANNUAL BOOSTER INJECTION,.8142857,.1609008,.10457516,.08870589,430621
GARDEN SPADE,.8125,.43537784,.018348623,.18335557,630505
FROZEN PRAWNS PER KG,.8125,.1944911,.26490065,.16597587,211106
TOILET ROLLS,.8108108,.18743175,.017094018,.076715462,430536
FRESH VEG-ONIONS-PER KG,.81072557,.30195892,.20551379,.16506094,212519
"MOWER ELECTRIC, SPECIFY TYPE",.81034482,.18466009,,,630520
BOTTLED MINERAL WATER,.80981594,.15587901,.1388889,.089358635,220117
FRESH BONELESS CHICKEN BREAST,.80864197,.22754453,.26229507,.045568682,210910
SOFT CONTINENTAL CHEESE - KG,.80701756,.38412052,.18023255,.15299253,211511
BITTER-4CANS-440-500ML,.80612242,.12553942,.19469027,.097884469,310207
BREAKFAST CEREAL GLUTEN FREE,.80588233,.26306593,.16574585,.25051689,210219
MINTS,.80555558,.22809006,.28125,.090956531,212202
FRUIT JUICE BOTTLE 250-350ML,.80487806,.12321306,.17826086,.077147327,220125
PIZZA TAKEAWAY OR DELIVERED,.80459768,.2702522,.12173913,.13256708,220316
DRIVING LESSON 1 HOUR,.80423278,.12788217,.04265403,.086611681,440105
PAINT BRUSH-2INCH/5CM WIDTH,.80392158,.4447318,.041322313,.12774673,410607
DRIED POTTED SNACK 50-120G,.80219781,.23560786,.01904762,.21848741,212934
DRAUGHT BITTER (PER PINT),.79870129,.12403087,.20183486,.051547401,310102
DRY CLEANING-MAN'S SUIT,.79850745,.14686045,.19251336,.07933864,440104
"SETTEE,NON LEATHER - SEE HELP",.79523808,.21208148,.171875,.18130569,430143
COOKED HAM LOOSE PER 100G,.79338843,.30950078,.17699115,.17520927,211031
HOT OAT CEREAL,.79104477,.32814965,.22065727,.29180294,210216
"WINE, PER 175 - 250 ML SERVING",.7903226,.16225459,.047244094,.12162349,310310
POTATOES- OLD WHITE PER KG,.78666669,.4549211,.125,.10807084,212310
HOME KLD BEEF-RUMP/POPES STEAK,.7862069,.13266726,.22413793,.077814028,210406
VEGETABLE CRISPS PACK 80-125G,.78472221,.25259092,.079365082,.46869394,212942
NON-DAIRY MILK DRINK 900ML-1LT,.78365386,.26371363,.31924883,.15728231,211714
CHILLED GARLIC BREAD,.78282827,.31676546,.16915423,.19940892,210114
SPEC'Y BEER BOTT 500ML 4-5.5,.78238344,.14475077,.13846155,.20669243,310220
"CAR TYRE, STATE SIZE",.78095239,.16042258,.092198581,.096604802,610204
HOME KILLED PORK-LOIN CHOPS KG,.77692306,.27676722,.29545453,.084968708,210703
SIX BREAD ROLLS-WHITE/BROWN,.77528089,.25345448,.090909094,.17671712,210106
FRESH VEG-CARROTS-PER KG,.77499998,.28967997,.13432837,.22046375,212518
PLANT FOOD 800ML-2LT/500G-1.5K,.77419353,.3062686,.038834952,.3105405,630525
MEN'S CLOTHING HIRE- SEE HELP,.7735849,.14724147,.10144927,.18178533,440132
NURSING HOME,.77319586,.1502755,.023076924,.088245265,520325
RESTAURANT CUP OF COFFEE,.76995307,.16105495,.040752351,.13117118,220121
GAS FIRE,.76744187,.16753529,.042857144,.073612593,430413
CARPET TUFTED MIN 80% WOOL FIB,.7651515,.16915223,.11299435,.18560059,430234
COOKED HAM PREPACKED SLICED,.76506025,.17281112,.22222222,.1799143,211023
SOFA BED,.76296294,.25855505,.16083916,.16831999,430140
"CHEESE SPREAD, 125g-200g TUB",.76136363,.24208601,.22826087,.13626707,211506
FRUIT FRESH SNACKING 150-350G,.76036865,.30495319,.060747664,.22863244,212730
GRAPES-PER KG,.7594502,.19571207,.14166667,.12424431,212722
TEA BAGS PKT OF 80 (230G-250G),.75630254,.26356769,.12800001,.24557525,211901
BASMATI RICE 500G-1KG,.75510204,.25169319,.029411765,.18620877,210212
HOUSEHOLD CLEANER CREAM/LIQUID,.75362319,.39090666,.47872341,.19627982,430509
GENT'S WATCH- ANALOGUE FACE,.75324672,.33511379,.16748768,.16410086,520131
COLA/FIZZY DRINK 330ML PK 4-8,.75,.28555822,.18536586,.27558863,212023
FRESH TURKEY DICED/MIN PER KG,.75,.19131957,.29411766,.067155823,210914
RESIDENTIAL HOME,.75,.13395619,.048275862,.20447429,520324
FRESH VEG-CABBAGE-WHOLE-PER KG,.74820143,.25068802,.13496932,.17410108,212516
DOG KENNEL FEES DAILY CHARGE,.74774772,.17356494,.10236221,.13112372,430622
CHOCOLATE 10,.74509805,.19779272,.21621622,.10815605,212222
GOLF BALLS PRICE PER BALL,.74444443,.24847576,.051282052,.16999996,630345
FRIDGE/FREEZER SPEC CAPACITIES,.74429226,.42237115,.35514018,.10006445,430362
BEEF ROASTING JOINT PER KG,.74380165,.1824567,.093525179,.11603162,210416
"CANNED FISH, TUNA, 130G-200G",.74193549,.15424505,.10377359,.057667613,211207
WASHING MACH NO DRYER MAX 1800,.73762375,.12795186,.25630254,.14276569,430361
CARPET TUFTED 100% MANMADE FIB,.73571426,.27153164,.11111111,.3795768,430233
FRUIT DRINK BOTTLE 4-8 PACK,.7352941,.47993132,.21938775,.40245077,212020
BISCUITS HALF CHOC 260-400G,.73480666,.58972591,.64319247,.18390878,210323
WOMEN'S HRDRESSING-CUT/BLOWDRY,.73451328,.11732856,.05232558,.072733305,520303
BOTTLE OF CHAMPAGNE 75 CL,.73417723,.11701614,.30588236,.13100079,310423
VEGETABLE PICKLE 280-520G,.73271888,.17606165,.0785124,.073803827,212905
COUGH LIQUID BOTTLE 150-200MLS,.73124999,.20901601,.10714286,.19648103,520251
ELECTRIC RAZOR,.73118281,.38947037,.20792079,.24266861,430321
FRESH DOUBLE CREAM 250ML-300ML,.73043478,.2290888,.056910571,.115206,211815
CHEWING/BUBBLE GUM-SINGLE PK,.72941178,.27435899,.072072074,.11547581,212217
"PEANUT BUTTER, JAR, 225-350G",.72811061,.13768891,.22660099,.36819503,211409
ANTIHISTAMINE ALLERGY TABLETS,.72777778,.20178975,.13513513,.094372757,520245
MOISTURISER FACIAL 50-150ML,.7265625,.64305162,.10416666,.94583654,520215
STRAWBERRIES PER KG OR PUNNET,.72560978,.33436066,.050583657,.48978937,212720
ARMCHAIR -UPHOLSTERED,.72560978,.26281658,.25806451,.18491521,430104
CHOCOLATE 4,.72500002,.18464695,.23404256,.13709362,212211
INDIAN TAKEAWAY,.72463769,.15416507,.060606062,.090534985,220318
